valid,1

"Full Results Table"

Benchmark,"Base Ref Time","Base Run Time","Base Ratio","Base Selected","Base Status","Peak Ref Time","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,1378.698372,7.086394,1,S,,,,,,"ref iteration #1"
400.perlbench,9770,1378.582597,7.086989,0,S,,,,,,"ref iteration #2"
400.perlbench,9770,1381.241338,7.073348,0,S,,,,,,"ref iteration #3"
401.bzip2,9650,1213.137762,7.954579,0,S,,,,,,"ref iteration #1"
401.bzip2,9650,1218.75966,7.917886,0,S,,,,,,"ref iteration #2"
401.bzip2,9650,1215.530238,7.938922,1,S,,,,,,"ref iteration #3"
403.gcc,8050,968.189755,8.314486,0,S,,,,,,"ref iteration #1"
403.gcc,8050,970.986332,8.290539,0,S,,,,,,"ref iteration #2"
403.gcc,8050,970.629146,8.29359,1,S,,,,,,"ref iteration #3"
429.mcf,9120,1454.760117,6.269075,0,S,,,,,,"ref iteration #1"
429.mcf,9120,1462.35649,6.236509,0,S,,,,,,"ref iteration #2"
429.mcf,9120,1461.126014,6.241761,1,S,,,,,,"ref iteration #3"
445.gobmk,10490,1049.803409,9.992347,1,S,,,,,,"ref iteration #1"
445.gobmk,10490,1051.73922,9.973955,0,S,,,,,,"ref iteration #2"
445.gobmk,10490,1049.464379,9.995575,0,S,,,,,,"ref iteration #3"
456.hmmer,9330,1086.465875,8.587476,0,S,,,,,,"ref iteration #1"
456.hmmer,9330,1086.665509,8.585899,1,S,,,,,,"ref iteration #2"
456.hmmer,9330,1088.087872,8.574675,0,S,,,,,,"ref iteration #3"
458.sjeng,12100,1559.753889,7.757634,0,S,,,,,,"ref iteration #1"
458.sjeng,12100,1567.085495,7.72134,0,S,,,,,,"ref iteration #2"
458.sjeng,12100,1562.829437,7.742368,1,S,,,,,,"ref iteration #3"
462.libquantum,20720,2142.382889,9.671474,0,S,,,,,,"ref iteration #1"
462.libquantum,20720,2118.892934,9.778691,1,S,,,,,,"ref iteration #2"
462.libquantum,20720,2107.845629,9.829942,0,S,,,,,,"ref iteration #3"
464.h264ref,22130,1938.39575,11.416657,1,S,,,,,,"ref iteration #1"
464.h264ref,22130,1941.238492,11.399939,0,S,,,,,,"ref iteration #2"
464.h264ref,22130,1937.296718,11.423134,0,S,,,,,,"ref iteration #3"
471.omnetpp,6250,1283.671716,4.868846,1,S,,,,,,"ref iteration #1"
471.omnetpp,6250,1286.263783,4.859034,0,S,,,,,,"ref iteration #2"
471.omnetpp,6250,1283.614734,4.869062,0,S,,,,,,"ref iteration #3"
473.astar,7020,1006.308559,6.975992,1,S,,,,,,"ref iteration #1"
473.astar,7020,1006.551031,6.974311,0,S,,,,,,"ref iteration #2"
473.astar,7020,1005.429831,6.982088,0,S,,,,,,"ref iteration #3"
483.xalancbmk,6900,934.791888,7.381322,0,S,,,,,,"ref iteration #1"
